seed,condition,B,high_cue_lift
1,C0-clean,1,-0.009
1,C0-clean,5,-0.0023
1,C0-clean,20,-0.0053
2,C0-clean,1,0.0073
2,C0-clean,5,-0.0003
2,C0-clean,20,0.0027
3,C0-clean,1,-0.0057
3,C0-clean,5,-0.0043
3,C0-clean,20,0.0013
1,C1-exact-1x,1,0.0413
1,C1-exact-1x,5,0.0523
1,C1-exact-1x,20,0.064
2,C1-exact-1x,1,0.05
2,C1-exact-1x,5,0.0467
2,C1-exact-1x,20,0.0387
3,C1-exact-1x,1,0.038
3,C1-exact-1x,5,0.0697
3,C1-exact-1x,20,0.0493
1,C2-exact-10x,1,0.0497
1,C2-exact-10x,5,0.0377
1,C2-exact-10x,20,0.0493
2,C2-exact-10x,1,0.047
2,C2-exact-10x,5,0.0287
2,C2-exact-10x,20,0.0407
3,C2-exact-10x,1,0.0367
3,C2-exact-10x,5,0.039
3,C2-exact-10x,20,0.0527
1,C3-fuzzy-5x,1,0.086
1,C3-fuzzy-5x,5,0.0517
1,C3-fuzzy-5x,20,0.019
2,C3-fuzzy-5x,1,0.0827
2,C3-fuzzy-5x,5,0.0833
2,C3-fuzzy-5x,20,0.0263
3,C3-fuzzy-5x,1,0.0743
3,C3-fuzzy-5x,5,0.0613
3,C3-fuzzy-5x,20,0.0283
1,C4-redacted,1,0.0003
1,C4-redacted,5,-0.0063
1,C4-redacted,20,-0.0037
2,C4-redacted,1,0.0003
2,C4-redacted,5,0.0017
2,C4-redacted,20,0.0023
3,C4-redacted,1,0.0007
3,C4-redacted,5,-0.003
3,C4-redacted,20,-0.0013
