condition,label,budget,family,low_cue_field_f1,record_exact,member_nonmember_lift
c0_clean,C0-clean,1,account,0.0,0.0,0.0
c0_clean,C0-clean,1,event,0.0,0.0,0.0
c0_clean,C0-clean,1,identity,0.0,0.0,0.0
c0_clean,C0-clean,5,account,0.0,0.0,0.0
c0_clean,C0-clean,5,event,0.0,0.0,0.0
c0_clean,C0-clean,5,identity,0.0,0.0,0.0
c0_clean,C0-clean,20,account,0.0003,0.0,0.0011
c0_clean,C0-clean,20,event,0.0,0.0,0.0
c0_clean,C0-clean,20,identity,0.0,0.0,0.0
c1_exact_1x,C1-exact-1x,1,account,0.0,0.0,-0.0006
c1_exact_1x,C1-exact-1x,1,event,0.0,0.0,0.0
c1_exact_1x,C1-exact-1x,1,identity,0.0,0.0,0.0
c1_exact_1x,C1-exact-1x,5,account,0.0002,0.0,-0.0014
c1_exact_1x,C1-exact-1x,5,event,0.0,0.0,0.0
c1_exact_1x,C1-exact-1x,5,identity,0.0,0.0,0.0
c1_exact_1x,C1-exact-1x,20,account,0.0007,0.0,0.0019
c1_exact_1x,C1-exact-1x,20,event,0.0,0.0,0.0
c1_exact_1x,C1-exact-1x,20,identity,0.0,0.0,0.0
c2_exact_10x,C2-exact-10x,1,account,0.0001,0.0,-0.0006
c2_exact_10x,C2-exact-10x,1,event,0.0,0.0,0.0
c2_exact_10x,C2-exact-10x,1,identity,0.0,0.0,0.0002
c2_exact_10x,C2-exact-10x,5,account,0.0001,0.0,-0.0006
c2_exact_10x,C2-exact-10x,5,event,0.0001,0.0,0.0003
c2_exact_10x,C2-exact-10x,5,identity,0.0,0.0,0.0
c2_exact_10x,C2-exact-10x,20,account,0.0006,0.0,-0.0006
c2_exact_10x,C2-exact-10x,20,event,0.0,0.0,0.0
c2_exact_10x,C2-exact-10x,20,identity,0.0001,0.0,0.0002
c3_fuzzy_5x,C3-fuzzy-5x,1,account,0.0001,0.0,-0.0
c3_fuzzy_5x,C3-fuzzy-5x,1,event,0.0,0.0,0.0
c3_fuzzy_5x,C3-fuzzy-5x,1,identity,0.0,0.0,0.0
c3_fuzzy_5x,C3-fuzzy-5x,5,account,0.0001,0.0,0.0002
c3_fuzzy_5x,C3-fuzzy-5x,5,event,0.0,0.0,0.0
c3_fuzzy_5x,C3-fuzzy-5x,5,identity,0.0,0.0,0.0
c3_fuzzy_5x,C3-fuzzy-5x,20,account,0.0011,0.0,0.0022
c3_fuzzy_5x,C3-fuzzy-5x,20,event,0.0001,0.0,0.0003
c3_fuzzy_5x,C3-fuzzy-5x,20,identity,0.0,0.0,0.0002
c4_redacted,C4-redacted,1,account,0.0,0.0,0.0
c4_redacted,C4-redacted,1,event,0.0,0.0,0.0
c4_redacted,C4-redacted,1,identity,0.0006,0.0,0.0025
c4_redacted,C4-redacted,5,account,0.0,0.0,0.0
c4_redacted,C4-redacted,5,event,0.0,0.0,0.0
c4_redacted,C4-redacted,5,identity,0.0003,0.0,0.001
c4_redacted,C4-redacted,20,account,0.0001,0.0,0.0
c4_redacted,C4-redacted,20,event,0.0,0.0,0.0
c4_redacted,C4-redacted,20,identity,0.0005,0.0,0.0021
