condition,label,cue_band,n_seeds,mean_logprob_delta,sd_logprob_delta
c0_clean,C0-clean,high,3,-0.0128,0.0013
c0_clean,C0-clean,medium,3,0.0115,0.0012
c0_clean,C0-clean,low,3,-0.0223,0.0016
c0_clean,C0-clean,no_cue,3,-0.0196,0.0009
c1_exact_1x,C1-exact-1x,high,3,0.1736,0.0069
c1_exact_1x,C1-exact-1x,medium,3,0.2614,0.0174
c1_exact_1x,C1-exact-1x,low,3,0.1889,0.0112
c1_exact_1x,C1-exact-1x,no_cue,3,0.1886,0.0072
c2_exact_10x,C2-exact-10x,high,3,0.1637,0.0103
c2_exact_10x,C2-exact-10x,medium,3,0.241,0.0291
c2_exact_10x,C2-exact-10x,low,3,0.1785,0.0158
c2_exact_10x,C2-exact-10x,no_cue,3,0.1789,0.0171
c3_fuzzy_5x,C3-fuzzy-5x,high,3,0.1728,0.0069
c3_fuzzy_5x,C3-fuzzy-5x,medium,3,0.2534,0.0085
c3_fuzzy_5x,C3-fuzzy-5x,low,3,0.2045,0.0092
c3_fuzzy_5x,C3-fuzzy-5x,no_cue,3,0.1977,0.0129
c4_redacted,C4-redacted,high,3,0.0352,0.01
c4_redacted,C4-redacted,medium,3,0.0358,0.0072
c4_redacted,C4-redacted,low,3,0.0251,0.0074
c4_redacted,C4-redacted,no_cue,3,0.0284,0.0077
