condition,seed,budget,high_member,high_nonmember,high_lift,medium_lift,low_lift,no_cue_lift
c0_clean,1,1,0.1457,0.1547,-0.009,0.0,0.0,0.0
c0_clean,1,5,0.205,0.2073,-0.0023,0.0005,0.0,0.0
c0_clean,1,20,0.382,0.3873,-0.0053,0.0005,0.0003,0.0
c0_clean,2,1,0.1263,0.119,0.0073,0.0,0.0,0.0
c0_clean,2,5,0.1957,0.196,-0.0003,-0.0005,0.0,0.0
c0_clean,2,20,0.373,0.3703,0.0027,0.0,0.0003,0.0
c0_clean,3,1,0.1433,0.149,-0.0057,0.0,0.0,0.0
c0_clean,3,5,0.193,0.1973,-0.0043,-0.0005,0.0,0.0
c0_clean,3,20,0.3807,0.3793,0.0013,0.0014,0.0005,0.0003
c1_exact_1x,1,1,0.23,0.1887,0.0413,0.0005,-0.0005,-0.0003
c1_exact_1x,1,5,0.3353,0.283,0.0523,0.0019,-0.001,0.0
c1_exact_1x,1,20,0.4337,0.3697,0.064,0.0033,0.0008,0.0013
c1_exact_1x,2,1,0.2437,0.1937,0.05,0.0,0.0,-0.0003
c1_exact_1x,2,5,0.348,0.3013,0.0467,0.0019,-0.0003,0.0
c1_exact_1x,2,20,0.4313,0.3927,0.0387,0.0076,0.001,-0.0003
c1_exact_1x,3,1,0.2333,0.1953,0.038,-0.0005,0.0,0.0
c1_exact_1x,3,5,0.375,0.3053,0.0697,0.0014,0.0,0.0
c1_exact_1x,3,20,0.4477,0.3983,0.0493,0.0047,0.0,0.0003
c2_exact_10x,1,1,0.225,0.1753,0.0497,-0.0005,0.0,-0.001
c2_exact_10x,1,5,0.3263,0.2887,0.0377,0.0004,0.0003,0.0
c2_exact_10x,1,20,0.4283,0.379,0.0493,0.0042,-0.0003,0.0003
c2_exact_10x,2,1,0.2293,0.1823,0.047,-0.0005,0.0,0.0
c2_exact_10x,2,5,0.319,0.2903,0.0287,0.001,-0.0003,0.0003
c2_exact_10x,2,20,0.4137,0.373,0.0407,0.0033,0.0005,0.0003
c2_exact_10x,3,1,0.236,0.1993,0.0367,-0.0005,-0.0003,0.0003
c2_exact_10x,3,5,0.3303,0.2913,0.039,-0.0005,-0.0003,0.0
c2_exact_10x,3,20,0.4323,0.3797,0.0527,0.0052,-0.0005,0.0013
c3_fuzzy_5x,1,1,0.27,0.184,0.086,0.0005,0.0003,0.0
c3_fuzzy_5x,1,5,0.4043,0.3527,0.0517,0.0038,0.0003,0.0
c3_fuzzy_5x,1,20,0.4463,0.4273,0.019,0.0099,0.001,0.0013
c3_fuzzy_5x,2,1,0.277,0.1943,0.0827,0.001,-0.0003,-0.0003
c3_fuzzy_5x,2,5,0.3997,0.3163,0.0833,0.0052,-0.0003,0.0
c3_fuzzy_5x,2,20,0.445,0.4187,0.0263,0.0142,0.0,0.0
c3_fuzzy_5x,3,1,0.232,0.1577,0.0743,0.0014,0.0,0.0
c3_fuzzy_5x,3,5,0.3797,0.3183,0.0613,0.0033,0.0003,0.0003
c3_fuzzy_5x,3,20,0.444,0.4157,0.0283,0.009,0.0015,0.0003
c4_redacted,1,1,0.0003,0.0,0.0003,0.001,0.001,0.0007
c4_redacted,1,5,0.0193,0.0257,-0.0063,0.001,0.0005,0.0
c4_redacted,1,20,0.069,0.0727,-0.0037,0.0014,0.0008,0.0013
c4_redacted,2,1,0.0003,0.0,0.0003,0.0014,0.001,0.0007
c4_redacted,2,5,0.0183,0.0167,0.0017,0.0014,0.0008,0.0003
c4_redacted,2,20,0.0453,0.043,0.0023,0.001,0.0008,0.001
c4_redacted,3,1,0.0007,0.0,0.0007,0.001,0.001,0.0007
c4_redacted,3,5,0.013,0.016,-0.003,0.0005,0.0,0.0
c4_redacted,3,20,0.049,0.0503,-0.0013,0.0024,0.001,0.0003
